"id","en-US","context","ar-SA","de-DE","es-ES","fi-FI","fr-FR","hu-HU","it-IT","ja-JP","ko-KR","ml-IN","nl-NL","pl-PL","pt-BR","pt-PT","ru-RU","sv-SE","uk-UA","zh-CN","zh-TW","qps-ploc"
"IDS_MENU_SHOW_SECONDS","Show seconds","Clock right-click menu, checkable. Shows a seconds hand, or seconds digits on the text faces.","إظهار الثواني","Sekunden anzeigen","Mostrar segundos","Näytä sekunnit","Afficher les secondes","Másodpercek megjelenítése","Mostra i secondi","秒を表示","초 표시","സെക്കൻഡ് കാണിക്കുക","Seconden tonen","Pokaż sekundy","Mostrar segundos","Mostrar segundos","Показывать секунды","Visa sekunder","Показувати секунди","显示秒数","顯示秒數","[Šhów šéçóñđš !!!!!]"
"IDS_MENU_CUSTOMIZE","Customize Face…","Menu item that opens the Customize dialog for the current clock face. Keep the ellipsis.","تخصيص واجهة الساعة…","Zifferblatt anpassen…","Personalizar esfera…","Mukauta kellotaulua…","Personnaliser le cadran…","Számlap testreszabása…","Personalizza quadrante…","文字盤のカスタマイズ…","시계판 사용자 지정…","ഡയൽ ഇഷ്ടാനുസൃതമാക്കുക…","Wijzerplaat aanpassen…","Dostosuj tarczę…","Personalizar mostrador…","Personalizar mostrador…","Настроить циферблат…","Anpassa urtavla…","Налаштувати циферблат…","自定义表盘…","自訂錶面…","[Çúšţómížé Fáçé… !!!!!!]"
"IDS_MENU_RESIZE","Resize","Menu item, checkable. Turns on a mode where the clock can be resized by dragging. Verb.","تغيير الحجم","Größe ändern","Cambiar tamaño","Muuta kokoa","Redimensionner","Átméretezés","Ridimensiona","サイズ変更","크기 조정","വലുപ്പം മാറ്റുക","Formaat wijzigen","Zmień rozmiar","Redimensionar","Redimensionar","Изменить размер","Ändra storlek","Змінити розмір","调整大小","調整大小","[Réšížé !!!]"
"IDS_MENU_FACE","Face","Submenu listing the clock faces. Noun: the look of the clock (a dial or display style).","واجهة الساعة","Zifferblatt","Esfera","Kellotaulu","Cadran","Számlap","Quadrante","文字盤","시계판","ഡയൽ","Wijzerplaat","Tarcza","Mostrador","Mostrador","Циферблат","Urtavla","Циферблат","表盘","錶面","[Fáçé !!]"
"IDS_MENU_TOPMOST","Always on top","Menu item, checkable. Keeps the clock above other windows.","دائمًا في المقدمة","Immer im Vordergrund","Siempre visible","Aina päällimmäisenä","Toujours au premier plan","Mindig felül","Sempre in primo piano","常に手前に表示","항상 위에 표시","എപ്പോഴും മുകളിൽ","Altijd op voorgrond","Zawsze na wierzchu","Sempre visível","Sempre visível","Поверх всех окон","Alltid överst","Поверх усіх вікон","总在最前面","顯示在最上層","[Áĺwáýš óñ ţóp !!!!!!]"
"IDS_MENU_STARTUP","Start with Windows","Menu item, checkable. Launches the clock when the user signs in.","التشغيل عند بدء Windows","Mit Windows starten","Iniciar con Windows","Käynnistä Windowsin mukana","Démarrer avec Windows","Indítás a Windowsszal","Avvia con Windows","Windows 起動時に実行","Windows 시작 시 실행","Windows-നൊപ്പം ആരംഭിക്കുക","Starten met Windows","Uruchamiaj z systemem Windows","Iniciar com o Windows","Iniciar com o Windows","Запускать вместе с Windows","Starta med Windows","Запускати разом із Windows","随 Windows 启动","隨 Windows 啟動","[Šţáŕţ wíţh Wíñđówš !!!!!!!!]"
"IDS_MENU_TRAY","Show in system tray","Menu item, checkable. Adds an icon to the notification area of the taskbar.","إظهار في منطقة الإعلام","Im Infobereich anzeigen","Mostrar en la bandeja del sistema","Näytä ilmaisinalueella","Afficher dans la zone de notification","Megjelenítés az értesítési területen","Mostra nell'area di notifica","通知領域に表示","알림 영역에 표시","സിസ്റ്റം ട്രേയിൽ കാണിക്കുക","Weergeven in systeemvak","Pokaż w zasobniku systemowym","Mostrar na área de notificação","Mostrar na área de notificação","Значок в области уведомлений","Visa i meddelandefältet","Показувати в області сповіщень","在通知区域显示","在通知區域顯示","[Šhów íñ šýšţém ţŕáý !!!!!!!!]"
"IDS_MENU_ABOUT","About DeskTick…","Menu item that opens the About box. DeskTick is the product name: do not translate. Keep the ellipsis.","حول DeskTick…","Über DeskTick…","Acerca de DeskTick…","Tietoja DeskTickista…","À propos de DeskTick…","A DeskTick névjegye…","Informazioni su DeskTick…","DeskTick について…","DeskTick 정보…","DeskTick-നെക്കുറിച്ച്…","Over DeskTick…","DeskTick — informacje…","Sobre o DeskTick…","Acerca do DeskTick…","О программе DeskTick…","Om DeskTick…","Про DeskTick…","关于 DeskTick…","關於 DeskTick…","[Ábóúţ DéškTíçk… !!!!!!]"
"IDS_MENU_EXIT","Exit","Menu item. Quits the app.","إنهاء","Beenden","Salir","Lopeta","Quitter","Kilépés","Esci","終了","종료","പുറത്തുകടക്കുക","Afsluiten","Zakończ","Sair","Sair","Выход","Avsluta","Вихід","退出","結束","[Éxíţ !!]"
"IDS_CUSTOMIZE","Customize","First part of the Customize dialog title, shown as ""<this>: <face name> - DeskTick"". Verb or noun as a window title.","تخصيص","Anpassen","Personalizar","Mukauta","Personnaliser","Testreszabás","Personalizza","カスタマイズ","사용자 지정","ഇഷ്ടാനുസൃതമാക്കുക","Aanpassen","Dostosuj","Personalizar","Personalizar","Настроить","Anpassa","Налаштувати","自定义","自訂","[Çúšţómížé !!!!]"
